Panels	10.5°-65.09m/s	Panels	6.1°-82.12m/s	Panels	1.7°-64.47m/s	Panels	2.5°-64.30m/s
3.57	30.99016	3.57	30.2409	3.57	25.26097	3.57	27.54632
3.8556	32.56441	3.8556	31.77802	3.8556	26.53851	3.8556	28.94891
4.1412	38.79931	4.1412	38.11773	4.1412	34.11545	4.1412	35.93024
4.294926	45.54036	4.294926	45.11277	4.294926	42.56984	4.294926	43.74034
4.338153	39.54761	4.338153	38.76587	4.338153	33.43203	4.338153	35.94013
4.422719	37.80893	4.422719	36.99848	4.422719	31.18969	4.422719	33.93087
4.544926	36.93591	4.544926	36.02917	4.544926	29.38702	4.544926	32.53097
4.699435	36.47056	4.699435	35.42563	4.699435	27.66464	4.699435	31.35075
4.879492	35.9321	4.879492	34.71517	4.879492	25.55949	4.879492	29.924
5.077227	35.25066	5.077227	33.82059	5.077227	22.96818	5.077227	28.15718
5.284	34.43496	5.284	32.74806	5.284	19.87086	5.284	26.04656
5.490773	33.43852	5.490773	31.45731	5.490773	16.2257	5.490773	23.55933
5.688508	32.18104	5.688508	29.87493	5.688508	11.9788	5.688508	20.6387
5.868565	30.6171	5.868565	27.98244	5.868565	7.213935	5.868565	17.33255
6.023074	28.78527	6.023074	25.82002	6.023074	1.74599	6.023074	13.62492
6.145281	26.80573	6.145281	23.5682	6.145281	-3.666076	6.145281	9.972864
6.229847	24.95997	6.229847	21.64881	6.229847	-7.092946	6.229847	7.478072
6.273074	24.36067	6.273074	21.08943	6.273074	-5.5032	6.273074	7.636595
6.381633	23.59332	6.381633	20.00288	6.381633	-11.36226	6.381633	4.744796
6.5769	24.07476	6.5769	20.34719	6.5769	-10.78044	6.5769	4.956
6.772167	23.9317	6.772167	20.11233	6.772167	-11.26367	6.772167	4.514085
6.967433	23.85142	6.967433	19.9513	6.967433	-11.809	6.967433	4.12839
7.1627	23.79573	7.1627	19.82745	7.1627	-12.31201	7.1627	3.797965
7.357967	23.72501	7.357967	19.69961	7.357967	-12.78346	7.357967	3.487186
7.553233	23.65875	7.553233	19.58756	7.553233	-13.16106	7.553233	3.230473
7.7485	23.58739	7.7485	19.48003	7.7485	-13.45854	7.7485	3.01398
7.943767	23.51956	7.943767	19.38521	7.943767	-13.67154	7.943767	2.844498
8.139033	23.46412	8.139033	19.31107	8.139033	-13.7871	8.139033	2.731364
8.3343	23.41455	8.3343	19.25587	8.3343	-13.78094	8.3343	2.68433
8.529567	23.36635	8.529567	19.21056	8.529567	-13.69492	8.529567	2.679454
8.724833	23.30626	8.724833	19.15442	8.724833	-13.61479	8.724833	2.667436
8.9201	23.20023	8.9201	19.04753	8.9201	-13.65627	8.9201	2.575943
9.115367	22.90282	9.115367	18.72583	9.115367	-14.00679	9.115367	2.20932
9.5059	22.75889	9.5059	18.75611	9.5059	-12.25508	9.5059	2.990222
10.0917	22.35165	10.0917	18.48311	10.0917	-11.73441	10.0917	3.163352
10.6775	22.08178	10.6775	18.31158	10.6775	-11.44649	10.6775	3.287987
11.2633	21.8629	11.2633	18.17604	11.2633	-11.23724	11.2633	3.391575
11.8491	21.67688	11.8491	18.06036	11.8491	-11.11475	11.8491	3.462011
12.4349	21.5043	12.4349	17.94257	12.4349	-11.12396	12.4349	3.467761
13.0207	21.32552	13.0207	17.80312	13.0207	-11.28123	13.0207	3.390453
13.6065	21.11788	13.6065	17.62193	13.6065	-11.59683	13.6065	3.216702
14.1923	20.83649	14.1923	17.35088	14.1923	-12.16777	14.1923	2.878259
14.7781	20.41649	14.7781	16.91771	14.7781	-13.15936	14.7781	2.26426
15.3639	19.75342	15.3639	16.20258	15.3639	-14.88261	15.3639	1.175726
15.9497	18.6626	15.9497	14.99443	15.9497	-17.94091	15.9497	-0.7546934
16.5355	16.84638	16.5355	12.94675	16.5355	-23.47229	16.5355	-4.174344
17.1213	13.9997	17.1213	9.700977	17.1213	-33.32066	17.1213	-9.930881
17.7071	8.192245	17.7071	3.228155	17.7071	-54.82981	17.7071	-21.46548
							
